candidate_id,label,normalized_label,family,status,confidence,evidence_count,anchor_commit,first_date,last_date,linked_milestone_object_id,mainline_status,anchor_subject,notes
candidate:numeric:0015:commit-7655b81b1b2f,0015,0015,NUMERIC,CANDIDATE,A,1,7655b81b1b2fd16eecefa8d8b3bebac4cd9f87f1,2026-08-29T21:42:43+02:00,2026-08-29T21:42:43+02:00,,IN_MAINLINE,one-for_one swap normal only & validation scripts for surf. tension (osc. droplet and TC,
candidate:numeric:0061:commit-5bb31b1f0e04,0061,0061,NUMERIC,CANDIDATE,A,2,5bb31b1f0e045bb99534d9e2e5a1ddae81264a28,2026-05-24T11:47:48+02:00,2026-05-24T11:47:48+02:00,,IN_MAINLINE,0061 add classic particle inlet outlet boundaries,
candidate:numeric:0061:commit-61aafa7e010f,0061,0061,NUMERIC,CANDIDATE,A,2,61aafa7e010f1f130f267b787cbda4c9bfc93858,2026-05-24T11:52:47+02:00,2026-05-24T11:52:47+02:00,,IN_MAINLINE,0061 add classic particle inlet outlet boundaries,
candidate:numeric:0061:commit-8d62238a4fc1,0061,0061,NUMERIC,CANDIDATE,A,1,8d62238a4fc13ec601d8e864fec254dcbfad2edd,2026-05-24T12:14:04+02:00,2026-05-24T12:14:04+02:00,,IN_MAINLINE,0061 add classic particle inlet outlet smoke case,
candidate:numeric:0061b:commit-eb827bd2392d,0061b,0061b,NUMERIC,CANDIDATE,A,2,eb827bd2392dc7c7953d323a609161b9d6fa872b,2026-05-24T12:38:43+02:00,2026-05-24T12:38:43+02:00,,IN_MAINLINE,0061b add CUDA-like classic inlet outlet recycling,
candidate:numeric:0061b:commit-ae4d4d7df3b0,0061b,0061b,NUMERIC,CANDIDATE,A,1,ae4d4d7df3b08cd574ca9d3160a71a4f4396d6be,2026-05-24T15:58:49+02:00,2026-05-24T15:58:49+02:00,,IN_MAINLINE,0061b add CUDA-like classic inlet outlet recycling,
candidate:numeric:0062:commit-0424fb34eed8,0062,0062,NUMERIC,CANDIDATE,A,2,0424fb34eed8ed601dc68f6b4ac80dec01bbee80,2026-05-24T16:21:54+02:00,2026-05-24T16:21:54+02:00,,IN_MAINLINE,0062 add minimal Q6 inlet outlet flux boundary,
candidate:numeric:0063:commit-2e83ddc0e38d,0063,0063,NUMERIC,CANDIDATE,A,2,2e83ddc0e38d4405f04d46d68d2a924897bc17d2,2026-05-24T16:43:38+02:00,2026-05-24T16:43:38+02:00,,IN_MAINLINE,0063 add minimal Q9 inlet outlet mass flux boundary,
candidate:numeric:0063b:commit-c9663e713e05,0063b,0063b,NUMERIC,CANDIDATE,A,2,c9663e713e05253f7ef524602e4beb3304736045,2026-05-24T16:55:45+02:00,2026-05-24T16:55:45+02:00,,IN_MAINLINE,0063b add fast Q9 inlet outlet validation sweep,
candidate:numeric:0064:commit-57705fceafb9,0064,0064,NUMERIC,CANDIDATE,A,2,57705fceafb9377f6d4e2f8538409cc2d8e4792e,2026-05-24T17:10:18+02:00,2026-05-24T17:10:18+02:00,,IN_MAINLINE,0064 add bulk-only virial inlet outlet support,
candidate:numeric:0064b:commit-4dfe16e02eca,0064b,0064b,NUMERIC,CANDIDATE,A,2,4dfe16e02eca2fff19b6a19bcbcaa4c1da78ec62,2026-05-24T17:19:25+02:00,2026-05-24T17:19:25+02:00,,IN_MAINLINE,0064b add fast virial inlet outlet sweep,
candidate:numeric:0065:commit-22dd5350b023,0065,0065,NUMERIC,CANDIDATE,A,4,22dd5350b023e8b623b58bd7e176ed1dfb85edde,2026-05-24T17:37:56+02:00,2026-05-24T17:37:56+02:00,,IN_MAINLINE,0065 add structured open channel validation,
candidate:numeric:0065b:commit-7bb2f7eb18c3,0065b,0065b,NUMERIC,CANDIDATE,A,2,7bb2f7eb18c3b5cdcea61853a20f747d9794f007,2026-05-24T17:47:19+02:00,2026-05-24T17:47:19+02:00,,IN_MAINLINE,0065b add bulk diagnostics for open channel validation,
candidate:numeric:0067:commit-110000620d57,0067,0067,NUMERIC,CANDIDATE,A,4,110000620d578db15f69f47f4cd6d7ffe4adb602,2026-05-24T22:05:57+02:00,2026-05-24T22:05:57+02:00,,IN_MAINLINE,0067 add hard inlet reservoir density control,
candidate:numeric:0067b:commit-15d357682ebc,0067b,0067b,NUMERIC,CANDIDATE,A,1,15d357682ebc7318a6d3164d09d87057deddc8db,2026-05-24T22:15:12+02:00,2026-05-24T22:15:12+02:00,,IN_MAINLINE,0067b enable Q9 safety limiters in hard inlet validation,
candidate:numeric:0067c:commit-01c329eba8aa,0067c,0067c,NUMERIC,CANDIDATE,A,2,01c329eba8aa3e2baf60b51a56bbed0ca6b85015,2026-05-24T22:31:54+02:00,2026-05-24T22:31:54+02:00,,IN_MAINLINE,0067c add soft Q9 hard-inlet backward-step runs,
candidate:numeric:0067d:commit-17545f1971e0,0067d,0067d,NUMERIC,CANDIDATE,A,2,17545f1971e0e0d06fa7184f5442a3d225bba7cb,2026-05-24T22:47:08+02:00,2026-05-24T22:47:08+02:00,,IN_MAINLINE,0067d export Q9 safety runtime diagnostics,
candidate:numeric:0067e:commit-99faca05edbb,0067e,0067e,NUMERIC,CANDIDATE,A,3,99faca05edbb33ea581606ae8d029216f09bca3e,2026-05-24T22:47:36+02:00,2026-05-24T22:47:36+02:00,,IN_MAINLINE,0067e add hard inlet backward-step long run,
candidate:numeric:0068b:commit-84ed7cca71a5,0068b,0068b,NUMERIC,CANDIDATE,A,1,84ed7cca71a5a699d1caa7462c727685312340c9,2026-05-25T10:55:34+02:00,2026-05-25T10:55:34+02:00,,IN_MAINLINE,0068b add Q9 low-mass ramp floor regularization,
candidate:numeric:0068c:commit-87583923fa08,0068c,0068c,NUMERIC,CANDIDATE,A,1,87583923fa0868b3b2275cd5cf05adf4958ab270,2026-05-25T11:04:22+02:00,2026-05-25T11:04:22+02:00,,IN_MAINLINE,0068c enable Q9 ramp-floor safety in long hard-inlet run,
candidate:numeric:0068d:commit-c8a037587589,0068d,0068d,NUMERIC,CANDIDATE,A,1,c8a037587589dbd13bd8b8a0e86e96b9f64c10cb,2026-05-25T11:16:03+02:00,2026-05-25T11:16:03+02:00,,IN_MAINLINE,0068d fix Q9 low-mass parser for ramp-floor long run,
candidate:numeric:0068d:commit-66e4ff12d56d,0068d,0068d,NUMERIC,CANDIDATE,A,2,66e4ff12d56d5df5233bb268e34e697cadcb293e,2026-05-25T11:18:19+02:00,2026-05-25T11:18:19+02:00,,IN_MAINLINE,0068d fix Q9 low-mass parser for ramp-floor long run,
candidate:numeric:0068d:commit-4d84d8bf2e6b,0068d,0068d,NUMERIC,CANDIDATE,A,1,4d84d8bf2e6b9f454e923305b32b8fd66c173e6e,2026-06-04T08:26:29+02:00,2026-06-04T08:26:29+02:00,,UNIQUE_OUTSIDE_MAINLINE,baseline: clean/openmp-light snapshot after 0176-0183,
candidate:numeric:0069:commit-53fbada186c3,0069,0069,NUMERIC,CANDIDATE,A,6,53fbada186c3fc86f01af43842dff5304cf448e3,2026-05-25T12:09:13+02:00,2026-05-25T12:09:13+02:00,,IN_MAINLINE,0069 add backward-step mass budget and visual diagnostics,
candidate:numeric:0071:commit-dd6d4e4edc17,0071,0071,NUMERIC,CANDIDATE,A,4,dd6d4e4edc170fd929a8ac9a3c7f93da9a1e851f,2026-05-25T16:54:03+02:00,2026-05-25T16:54:03+02:00,,IN_MAINLINE,tests divers marche arrière,
candidate:numeric:0071:commit-4d84d8bf2e6b,0071,0071,NUMERIC,CANDIDATE,A,4,4d84d8bf2e6b9f454e923305b32b8fd66c173e6e,2026-06-04T08:26:29+02:00,2026-06-04T08:26:29+02:00,,UNIQUE_OUTSIDE_MAINLINE,baseline: clean/openmp-light snapshot after 0176-0183,
candidate:numeric:0072:commit-dd6d4e4edc17,0072,0072,NUMERIC,CANDIDATE,A,5,dd6d4e4edc170fd929a8ac9a3c7f93da9a1e851f,2026-05-25T16:54:03+02:00,2026-05-25T16:54:03+02:00,,IN_MAINLINE,tests divers marche arrière,
candidate:numeric:0072:commit-4d84d8bf2e6b,0072,0072,NUMERIC,CANDIDATE,A,5,4d84d8bf2e6b9f454e923305b32b8fd66c173e6e,2026-06-04T08:26:29+02:00,2026-06-04T08:26:29+02:00,,UNIQUE_OUTSIDE_MAINLINE,baseline: clean/openmp-light snapshot after 0176-0183,
candidate:numeric:0073:commit-dd6d4e4edc17,0073,0073,NUMERIC,CANDIDATE,A,2,dd6d4e4edc170fd929a8ac9a3c7f93da9a1e851f,2026-05-25T16:54:03+02:00,2026-05-25T16:54:03+02:00,,IN_MAINLINE,tests divers marche arrière,
candidate:numeric:0073:commit-4d84d8bf2e6b,0073,0073,NUMERIC,CANDIDATE,A,2,4d84d8bf2e6b9f454e923305b32b8fd66c173e6e,2026-06-04T08:26:29+02:00,2026-06-04T08:26:29+02:00,,UNIQUE_OUTSIDE_MAINLINE,baseline: clean/openmp-light snapshot after 0176-0183,
