Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 59.29      8.30     8.30   852682     0.01     0.01  mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
 14.93     10.39     2.09 17569014     0.00     0.00  mpcd::immersed_solid_shape(mpcd::SimulationParams const&)
  5.43     11.15     0.76      200     3.80     3.91  mpcd::apply_resampling_particle_mass_guards(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::WeightedResamplingDiagnostics const&, double)
  3.07     11.58     0.43   396495     0.00     0.01  mpcd::point_is_inside_immersed_solid(double, double, mpcd::SimulationParams const&, double)
  2.36     11.91     0.33                             _init
  1.86     12.17     0.26  6394483     0.00     0.00  mpcd::cell_index_from_position(double, double, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&)
  1.64     12.40     0.23      800     0.29     0.29  mpcd::(anonymous namespace)::face_stats(mpcd::PeriodicFaceField const&)
  1.43     12.60     0.20   212214     0.00     0.01  std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned long)
  1.14     12.76     0.16 82754300     0.00     0.00  mpcd::is_fluid_particle(mpcd::ParticleState const&, unsigned long)
  1.07     12.91     0.15      801     0.19     0.41  mpcd::deposit_weighted_real_fluid(mpcd::ParticleState const&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, double, mpcd::GridShift const&, mpcd::WeightedRealFluidDepositWorkspace&, bool, bool)
  0.64     13.00     0.09  8332784     0.00     0.00  mpcd::point_is_inside_fluid_domain(double, double, mpcd::FluidDomainBounds const&)
  0.64     13.09     0.09     1400     0.06     0.06  mpcd::(anonymous namespace)::require_grid(mpcd::EllipticProjectionGrid const&)
  0.64     13.18     0.09      800     0.11     0.14  mpcd::(anonymous namespace)::measure_q6_solid_boundary_leak(mpcd::PeriodicFaceField const&, mpcd::ImmersedSolidProjectionMask const&, mpcd::SimulationParams const&)
  0.57     13.26     0.08 40713471     0.00     0.00  mpcd::is_x_periodic(mpcd::SimulationParams const&)
  0.57     13.34     0.08  7704602     0.00     0.00  mpcd::(anonymous namespace)::hard_inlet_reservoir_enabled(mpcd::SimulationParams const&)
  0.57     13.42     0.08      201     0.40     1.44  mpcd::(anonymous namespace)::apply_hard_inlet_reservoir_boundary(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long, double)
  0.50     13.49     0.07   680317     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&)
  0.50     13.56     0.07       51     1.37     1.55  std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&)
  0.43     13.62     0.06      200     0.30    33.24  mpcd::apply_resampling_insertion_operations(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::CellGrid const&)
  0.29     13.66     0.04 34664590     0.00     0.00  mpcd::is_y_periodic(mpcd::SimulationParams const&)
  0.29     13.70     0.04      200     0.20     0.22  mpcd::apply_closed_capacity_virial_kick(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, mpcd::ClosedCapacityResponseWorkspace&)
  0.21     13.73     0.03 32033750     0.00     0.00  mpcd::particle_role_value(mpcd::ParticleState const&, unsigned long)
  0.21     13.76     0.03  8179603     0.00     0.00  mpcd::(anonymous namespace)::append_particle(mpcd::ParticleState&, double, double, double, double, unsigned int, double, mpcd::ParticleRole)
  0.21     13.79     0.03     1007     0.03     0.04  mpcd::count_particle_roles(mpcd::ParticleState const&)
  0.21     13.82     0.03      200     0.15     3.72  mpcd::(anonymous namespace)::make_virtual_face_contribution(double, double, double, double, double, double, double, double, double, unsigned long)
  0.21     13.85     0.03      200     0.15     0.33  mpcd::apply_resampling_local_mass_momentum_remap(mpcd::ParticleState&, mpcd::WeightedRealFluidDepositWorkspace&, mpcd::WeightedResamplingDiagnostics const&, double, double)
  0.14     13.87     0.02 30628338     0.00     0.00  mpcd::is_inlet_boundary_mode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.14     13.89     0.02      200     0.10    68.29  mpcd::run_src_mpcd_base_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, unsigned long, mpcd::SrcMpcdBaseWorkspace&, bool)
  0.14     13.91     0.02      200     0.10     0.25  mpcd::apply_resampling_population_support_guard(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace&, mpcd::WeightedResamplingDiagnostics const&, mpcd::SimulationParams const&, mpcd::CellGrid const&)
  0.07     13.92     0.01  8261072     0.00     0.00  mpcd::is_inactive_particle(mpcd::ParticleState const&, unsigned long)
  0.07     13.93     0.01  7704374     0.00     0.00  mpcd::(anonymous namespace)::reflect_y(double, double&, double&, double&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long&, unsigned long&, unsigned long, unsigned long, double, mpcd::(anonymous namespace)::ReflectionFailure&)
  0.07     13.94     0.01  1388243     0.00     0.00  mpcd::fluid_domain_width(mpcd::FluidDomainBounds const&)
