fluid,gamma,angleDeg,lambdaOverH,dt,nuSRD,H1PhysicalTime,H1StepsPerAmplitude,H1ParticleStepsAll3,C1ReplicatesPerAmplitude,C1StepsPerReplicate,C1ParticleStepsAll3,totalDefaultParticleSteps
A0,20,90,0.22687409291590604,0.002,0.0007421516284977748,4,2000,245760000,3,1200,221184000,466944000
A1,20,120,0.48,0.004231421876608172,0.0005349338980201178,4.143317333934938,980,120422400,3,568,104693760,225116160
A2,20,150,0.95,0.008374689130787007,0.000336266401192768,6.591205319099262,788,96829440,3,287,52899840,149729280
A3,20,165,1.32,0.011636410160672475,0.0002556312672786957,8.670304363666759,746,91668480,3,207,38154240,129822720
A4,20,175,1.5,0.013223193364400539,0.000227515452754708,9.741759802863651,737,90562560,3,182,33546240,124108800
A6,20,175,3.0,0.026446386728801077,0.00018149128708778284,12.21216140863071,462,56770560,3,91,16773120,73543680
G06,6,120,0.48,0.004231421876608172,0.0005342868076717387,4.148335426499763,981,36163584,10,568,104693760,140857344
G08,8,120,0.48,0.004231421876608172,0.0005329418155920236,4.158804633699137,983,48316416,8,568,111673344,159989760
G10,10,120,0.48,0.004231421876608172,0.0005330170161776833,4.158217889684206,983,60395520,6,568,104693760,165089280
G14,14,120,0.48,0.004231421876608172,0.000533840424885354,4.15180415131006,982,84467712,5,568,122142720,206610432
