Nx,Ny,gamma,Mach,U0,steps,particlesPerRun,particleStepsPerRun,seeds,particleStepsGroup
128,16,8,0.05,0.01777241237895148,998,16384,16351232,3,49053696
128,16,8,0.1,0.03554482475790296,998,16384,16351232,3,49053696
128,16,8,0.2,0.07108964951580592,998,16384,16351232,3,49053696
128,16,8,0.3,0.10663447427370888,998,16384,16351232,3,49053696
128,16,8,0.4,0.14217929903161183,998,16384,16351232,3,49053696
128,16,8,0.5,0.1777241237895148,998,16384,16351232,3,49053696
128,16,8,0.7,0.2488137733053207,998,16384,16351232,3,49053696
128,16,8,0.9,0.31990342282112666,998,16384,16351232,3,49053696
128,16,8,1.0,0.3554482475790296,998,16384,16351232,3,49053696
256,16,8,0.05,0.01777241237895148,1995,32768,65372160,3,196116480
256,16,8,0.1,0.03554482475790296,1995,32768,65372160,3,196116480
256,16,8,0.2,0.07108964951580592,1995,32768,65372160,3,196116480
256,16,8,0.3,0.10663447427370888,1995,32768,65372160,3,196116480
256,16,8,0.4,0.14217929903161183,1995,32768,65372160,3,196116480
256,16,8,0.5,0.1777241237895148,1995,32768,65372160,3,196116480
256,16,8,0.7,0.2488137733053207,1995,32768,65372160,3,196116480
256,16,8,0.9,0.31990342282112666,1995,32768,65372160,3,196116480
256,16,8,1.0,0.3554482475790296,1995,32768,65372160,3,196116480
