alphaDeg,lambdaOverH,dt,nuSRD,HhProxyCsRef,Ny,steps,particleStepsPerSeed,S1Seeds,S1ParticleSteps
120,0.48,0.004231421876608172,0.0005329418155920236,2.605293254317433,128,3932,128843776,2,257687552
120,0.56,0.0049366588560428686,0.0004996792216481083,2.7787221420293386,128,3595,117800960,2,235601920
120,0.64,0.005641895835477563,0.0004805035003821838,2.889614156819296,128,3271,107184128,2,214368256
120,0.72,0.0063471328149122585,0.00047071902756825294,2.949678334182614,128,2968,97255424,2,194510848
120,0.8,0.007052369794346955,0.00046750842867071784,2.969935154010947,128,2689,88113152,2,176226304
130,0.48,0.004231421876608172,0.0005354629465324892,2.593026699787413,128,3913,128221184,2,256442368
130,0.56,0.0049366588560428686,0.0004909989404522356,2.8278466666887945,128,3658,119865344,2,239730688
130,0.64,0.005641895835477563,0.0004619627609684054,3.0055879703267787,128,3402,111476736,2,222953472
130,0.72,0.0063471328149122585,0.0004432117992155239,3.132745381695948,128,3152,103284736,2,206569472
130,0.8,0.007052369794346955,0.00043166048987430664,3.216578189747889,128,2913,95453184,2,190906368
140,0.48,0.004231421876608172,0.0005421939173267943,2.5608360269905384,128,3865,126648320,2,253296640
140,0.56,0.0049366588560428686,0.0004888197649787845,2.8404533052501386,128,3674,120389632,2,240779264
140,0.64,0.005641895835477563,0.0004520309747733681,3.071625164186398,128,3477,113934336,2,227868672
140,0.72,0.0063471328149122585,0.00042629909266301386,3.2570318375112257,128,3277,107380736,2,214761472
140,0.8,0.007052369794346955,0.00040830704621920317,3.4005529171303412,128,3079,100892672,2,201785344
150,0.48,0.004231421876608172,0.0005501458309182734,2.523821210801555,128,3809,124813312,2,249626624
150,0.56,0.0049366588560428686,0.0004899594651374976,2.8338460952396076,128,3666,120127488,2,240254976
150,0.64,0.005641895835477563,0.00044729740754139363,3.104130928764869,128,3514,115146752,2,230293504
150,0.72,0.0063471328149122585,0.00041631822206840397,3.3351163689334,128,3356,109969408,2,219938816
150,0.8,0.007052369794346955,0.00039351704708159456,3.5283597684084302,128,3195,104693760,2,209387520
