path,action,group,reason
dev_history/artifacts/cleanup_audit_0178/openmp_light_cleanup_inventory_0178.csv,remove,autre,sélection production
dev_history/artifacts/cleanup_audit_0178/openmp_light_cleanup_summary_0178.csv,remove,autre,sélection production
dev_history/artifacts/cleanup_audit_0178/openmp_light_profile_references_0178.csv,remove,autre,sélection production
dev_history/artifacts/cleanup_audit_0179/openmp_light_cleanup_manifest_0179.csv,remove,autre,sélection production
dev_history/artifacts/docs/README_0068d_fix_q9_low_mass_parser.md,remove,autre,sélection production
dev_history/artifacts/init/closed_capacity_wall_load_0152/closed_capacity_uniform_overfill_suite_0152.csv,remove,autre,sélection production
dev_history/artifacts/init/closed_capacity_wall_load_0152/static_mf1_meta_0152.csv,remove,autre,sélection production
dev_history/artifacts/init/closed_capacity_wall_load_0152/static_mf1_preview_0152.png,remove,autre,sélection production
dev_history/artifacts/init/closed_capacity_wall_load_0152/static_mf1p02_meta_0152.csv,remove,autre,sélection production
dev_history/artifacts/init/closed_capacity_wall_load_0152/static_mf1p02_preview_0152.png,remove,autre,sélection production
dev_history/artifacts/init/closed_capacity_wall_load_0152/static_mf1p05_meta_0152.csv,remove,autre,sélection production
dev_history/artifacts/init/closed_capacity_wall_load_0152/static_mf1p05_preview_0152.png,remove,autre,sélection production
dev_history/artifacts/init/closed_capacity_wall_load_0152/static_mf1p1_meta_0152.csv,remove,autre,sélection production
dev_history/artifacts/init/closed_capacity_wall_load_0152/static_mf1p1_preview_0152.png,remove,autre,sélection production
dev_history/artifacts/init/injection_fill_fluid_uniform_0145/initial_state_fluid_uniform_0145_small_meta_0145.csv,remove,autre,sélection production
dev_history/artifacts/init/injection_fill_fluid_uniform_0145/initial_state_fluid_uniform_0145_small_preview_0145.png,remove,autre,sélection production
dev_history/artifacts/init/injection_fill_resampling_0145/initial_state_fluid_uniform_0145_meta_0145.csv,remove,autre,sélection production
dev_history/artifacts/init/injection_fill_resampling_0145/initial_state_fluid_uniform_0145_preview_0145.png,remove,autre,sélection production
dev_history/artifacts/init/injection_fill_resampling_0145/initial_state_fluid_uniform_0145_small_meta_0145.csv,remove,autre,sélection production
dev_history/artifacts/init/injection_fill_resampling_0145/initial_state_fluid_uniform_0145_small_preview_0145.png,remove,autre,sélection production
dev_history/artifacts/matlab/analyze_closed_capacity_inlet_only_0147.m,remove,autre,sélection production
dev_history/artifacts/matlab/analyze_closed_capacity_wall_load_validation_0152.m,remove,autre,sélection production
dev_history/artifacts/matlab/prepare_closed_capacity_uniform_overfill_0152.m,remove,campagne/sweep,préparation de campagnes de développement retirée
dev_history/artifacts/matlab/prepare_closed_capacity_uniform_overfill_suite_0152.m,remove,campagne/sweep,préparation de campagnes de développement retirée
dev_history/artifacts/matlab/prepare_injection_fill_fluid_uniform_0145.m,remove,campagne/sweep,préparation de campagnes de développement retirée
dev_history/doc/doc/NEXT_CHAT_PROMPT_0090.md,remove,autre,sélection production
dev_history/doc/doc/NEXT_CHAT_PROMPT_0091_SEGMENTED_INLET_OUTLET.md,remove,autre,sélection production
dev_history/doc/doc/README_0071_OPEN_CHANNEL_HARD_INLET_BUDGET.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
dev_history/doc/doc/README_0072_BACKWARD_STEP_HARD_INLET_BUDGET.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
dev_history/doc/doc/README_0073_BACKWARD_STEP_VALIDATED_Q9_PARAMS.md,remove,autre,sélection production
dev_history/doc/doc/README_0074_BACKWARD_STEP_RECEDED_THIN_VALIDATED_Q9.md,remove,autre,sélection production
dev_history/doc/doc/README_0075_BACKWARD_STEP_RECEDED_THIN_VALIDATED_Q9_UIN025.md,remove,autre,sélection production
dev_history/doc/doc/README_0076_INLET_OUTLET_STATUS_AND_IMMERSED_SOLID_NOTES.md,remove,autre,sélection production
dev_history/doc/doc/README_0077_POISEUILLE_HARD_INLET_FREE_OUTLET.md,remove,autre,sélection production
dev_history/doc/doc/README_0078_GAMMA_RELATIVE_Q9_LOW_MASS.md,remove,autre,sélection production
dev_history/doc/doc/README_0079_POISEUILLE_RAMPED_HARD_INLET.md,remove,autre,sélection production
dev_history/doc/doc/README_0080_Q9_THERMAL_SOFT_LIMITER.md,remove,autre,sélection production
dev_history/doc/doc/README_0081_VISUAL_IMMERSED_SOLID_FLAG_FIX.md,remove,autre,sélection production
dev_history/doc/doc/README_0082_POISEUILLE_OUTLET_CORNER_BANDS.md,remove,autre,sélection production
dev_history/doc/doc/README_0083_SEGMENTED_INLET_OUTLET_APERTURES.md,remove,autre,sélection production
dev_history/doc/doc/README_0084_OPEN_CHANNEL_FULL_IO_SLIP.md,remove,autre,sélection production
dev_history/doc/doc/README_0085_OPEN_BOUNDARY_EXCLUSION_SWEEP.md,remove,campagne/sweep,préparation de campagnes de développement retirée
dev_history/doc/doc/README_0086_OPEN_CHANNEL_FULL_IO_Q9_BOUNDARY_MODES.md,remove,autre,sélection production
