cell,ix,iy,xc,yc,isFluidCell,isSolidCell,nFluid,mass
1,1,1,0.0078125,0.0078125,1,0,14,14
2,2,1,0.0234375,0.0078125,1,0,30,30
3,3,1,0.0390625,0.0078125,1,0,27,27
4,4,1,0.0546875,0.0078125,1,0,15,15
5,5,1,0.0703125,0.0078125,1,0,21,21
6,6,1,0.0859375,0.0078125,1,0,22,22
7,7,1,0.1015625,0.0078125,1,0,23,23
8,8,1,0.1171875,0.0078125,1,0,16,16
9,9,1,0.1328125,0.0078125,1,0,27,27
10,10,1,0.1484375,0.0078125,1,0,27,27
11,11,1,0.1640625,0.0078125,1,0,31,31
12,12,1,0.1796875,0.0078125,1,0,32,32
13,13,1,0.1953125,0.0078125,1,0,28,28
14,14,1,0.2109375,0.0078125,1,0,11,11
15,15,1,0.2265625,0.0078125,1,0,18,18
16,16,1,0.2421875,0.0078125,1,0,13,13
17,17,1,0.2578125,0.0078125,1,0,14,14
18,18,1,0.2734375,0.0078125,1,0,18,18
19,19,1,0.2890625,0.0078125,1,0,22,22
20,20,1,0.3046875,0.0078125,1,0,18,18
21,21,1,0.3203125,0.0078125,1,0,21,21
22,22,1,0.3359375,0.0078125,1,0,27,27
23,23,1,0.3515625,0.0078125,1,0,10,10
24,24,1,0.3671875,0.0078125,1,0,24,24
25,25,1,0.3828125,0.0078125,1,0,20,20
26,26,1,0.3984375,0.0078125,1,0,16,16
27,27,1,0.4140625,0.0078125,1,0,25,25
28,28,1,0.4296875,0.0078125,1,0,34,34
29,29,1,0.4453125,0.0078125,1,0,7,7
30,30,1,0.4609375,0.0078125,1,0,35,35
31,31,1,0.4765625,0.0078125,1,0,20,20
32,32,1,0.4921875,0.0078125,1,0,16,16
33,33,1,0.5078125,0.0078125,1,0,21,21
34,34,1,0.5234375,0.0078125,1,0,17,17
35,35,1,0.5390625,0.0078125,1,0,16,16
36,36,1,0.5546875,0.0078125,1,0,4,4
37,37,1,0.5703125,0.0078125,1,0,22,22
38,38,1,0.5859375,0.0078125,1,0,15,15
39,39,1,0.6015625,0.0078125,1,0,18,18
40,40,1,0.6171875,0.0078125,1,0,22,22
41,41,1,0.6328125,0.0078125,1,0,23,23
42,42,1,0.6484375,0.0078125,1,0,15,15
43,43,1,0.6640625,0.0078125,1,0,25,25
44,44,1,0.6796875,0.0078125,1,0,19,19
45,45,1,0.6953125,0.0078125,1,0,15,15
46,46,1,0.7109375,0.0078125,1,0,20,20
47,47,1,0.7265625,0.0078125,1,0,17,17
48,48,1,0.7421875,0.0078125,1,0,24,24
49,49,1,0.7578125,0.0078125,1,0,13,13
50,50,1,0.7734375,0.0078125,1,0,24,24
51,51,1,0.7890625,0.0078125,1,0,17,17
52,52,1,0.8046875,0.0078125,1,0,32,32
53,53,1,0.8203125,0.0078125,1,0,26,26
54,54,1,0.8359375,0.0078125,1,0,28,28
55,55,1,0.8515625,0.0078125,1,0,20,20
56,56,1,0.8671875,0.0078125,1,0,28,28
57,57,1,0.8828125,0.0078125,1,0,11,11
58,58,1,0.8984375,0.0078125,1,0,16,16
59,59,1,0.9140625,0.0078125,1,0,19,19
60,60,1,0.9296875,0.0078125,1,0,12,12
61,61,1,0.9453125,0.0078125,1,0,24,24
62,62,1,0.9609375,0.0078125,1,0,14,14
63,63,1,0.9765625,0.0078125,1,0,25,25
64,64,1,0.9921875,0.0078125,1,0,12,12
65,65,1,1.0078125,0.0078125,1,0,21,21
66,66,1,1.0234375,0.0078125,1,0,6,6
67,67,1,1.0390625,0.0078125,1,0,19,19
68,68,1,1.0546875,0.0078125,1,0,30,30
69,69,1,1.0703125,0.0078125,1,0,22,22
70,70,1,1.0859375,0.0078125,1,0,24,24
71,71,1,1.1015625,0.0078125,1,0,17,17
72,72,1,1.1171875,0.0078125,1,0,24,24
73,73,1,1.1328125,0.0078125,1,0,26,26
74,74,1,1.1484375,0.0078125,1,0,36,36
75,75,1,1.1640625,0.0078125,1,0,23,23
76,76,1,1.1796875,0.0078125,1,0,24,24
77,77,1,1.1953125,0.0078125,1,0,17,17
78,78,1,1.2109375,0.0078125,1,0,31,31
79,79,1,1.2265625,0.0078125,1,0,17,17
80,80,1,1.2421875,0.0078125,1,0,18,18
81,81,1,1.2578125,0.0078125,1,0,14,14
82,82,1,1.2734375,0.0078125,1,0,18,18
83,83,1,1.2890625,0.0078125,1,0,21,21
84,84,1,1.3046875,0.0078125,1,0,29,29
