cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
1,1,1,0.0104166666666667,0.0104166666666667,1,12,12,0.572375389911828
2,2,1,0.03125,0.0104166666666667,1,27,27,0.55780410354156
3,3,1,0.0520833333333333,0.0104166666666667,1,23,23,0.543567012859708
4,4,1,0.0729166666666667,0.0104166666666667,1,27,27,0.529686088729695
5,5,1,0.09375,0.0104166666666667,1,21,21,0.51618464519177
6,6,1,0.114583333333333,0.0104166666666667,1,13,13,0.503087351197424
7,7,1,0.135416666666667,0.0104166666666667,1,22,22,0.49042022183265
8,8,1,0.15625,0.0104166666666667,1,29,29,0.478210583973385
9,9,1,0.177083333333333,0.0104166666666667,1,16,16,0.466487010844135
10,10,1,0.197916666666667,0.0104166666666667,1,17,17,0.45527921964517
11,11,1,0.21875,0.0104166666666667,1,29,29,0.444617926369485
12,12,1,0.239583333333333,0.0104166666666667,1,20,20,0.43453465225859
13,13,1,0.260416666666667,0.0104166666666667,1,29,29,0.42506147716463
14,14,1,0.28125,0.0104166666666667,1,20,20,0.41623073650974
15,15,1,0.302083333333333,0.0104166666666667,1,21,21,0.408074660651524
16,16,1,0.322916666666667,0.0104166666666667,1,28,28,0.400624958316658
17,17,1,0.34375,0.0104166666666667,1,26,26,0.393912349314334
18,18,1,0.364583333333333,0.0104166666666667,1,11,11,0.387966055843192
19,19,1,0.385416666666667,0.0104166666666667,1,11,11,0.382813266089465
20,20,1,0.40625,0.0104166666666667,1,18,18,0.378478588083558
21,21,1,0.427083333333333,0.0104166666666667,1,26,26,0.374983515438197
22,22,1,0.447916666666667,0.0104166666666667,1,27,27,0.372345929087353
23,23,1,0.46875,0.0104166666666667,1,17,17,0.370579659971526
24,24,1,0.489583333333333,0.0104166666666667,1,30,30,0.369694136397632
25,25,1,0.510416666666667,0.0104166666666667,1,16,16,0.369694136397632
26,26,1,0.53125,0.0104166666666667,1,9,9,0.370579659971526
27,27,1,0.552083333333333,0.0104166666666667,1,28,28,0.372345929087353
28,28,1,0.572916666666667,0.0104166666666667,1,12,12,0.374983515438197
29,29,1,0.59375,0.0104166666666667,1,19,19,0.378478588083558
30,30,1,0.614583333333333,0.0104166666666667,1,22,22,0.382813266089465
31,31,1,0.635416666666667,0.0104166666666667,1,22,22,0.387966055843192
32,32,1,0.65625,0.0104166666666667,1,19,19,0.393912349314334
33,33,1,0.677083333333333,0.0104166666666667,1,23,23,0.400624958316658
34,34,1,0.697916666666667,0.0104166666666667,1,16,16,0.408074660651524
35,35,1,0.71875,0.0104166666666667,1,22,22,0.41623073650974
36,36,1,0.739583333333333,0.0104166666666667,1,10,10,0.42506147716463
37,37,1,0.760416666666667,0.0104166666666667,1,21,21,0.43453465225859
38,38,1,0.78125,0.0104166666666667,1,19,19,0.444617926369485
39,39,1,0.802083333333333,0.0104166666666667,1,16,16,0.45527921964517
40,40,1,0.822916666666667,0.0104166666666667,1,18,18,0.466487010844135
41,41,1,0.84375,0.0104166666666667,1,23,23,0.478210583973385
42,42,1,0.864583333333333,0.0104166666666667,1,15,15,0.49042022183265
43,43,1,0.885416666666667,0.0104166666666667,1,13,13,0.503087351197424
44,44,1,0.90625,0.0104166666666667,1,22,22,0.51618464519177
45,45,1,0.927083333333333,0.0104166666666667,1,10,10,0.529686088729695
46,46,1,0.947916666666667,0.0104166666666667,1,31,31,0.543567012859708
47,47,1,0.96875,0.0104166666666667,1,24,24,0.55780410354156
48,48,1,0.989583333333333,0.0104166666666667,1,21,21,0.572375389911828
49,49,1,1.01041666666667,0.0104166666666667,1,17,17,0.587260216531998
50,50,1,1.03125,0.0104166666666667,1,23,23,0.602439203516654
51,51,1,1.05208333333333,0.0104166666666667,1,28,28,0.617894197851035
52,52,1,1.07291666666667,0.0104166666666667,1,13,13,0.63360821865358
53,53,1,1.09375,0.0104166666666667,1,25,25,0.649565398635995
54,54,1,1.11458333333333,0.0104166666666667,1,13,13,0.665750923568588
55,55,1,1.13541666666667,0.0104166666666667,1,22,22,0.682150971174102
56,56,1,1.15625,0.0104166666666667,1,20,20,0.698752650547024
57,57,1,1.17708333333333,0.0104166666666667,1,32,32,0.715543942923145
58,58,1,1.19791666666667,0.0104166666666667,1,9,9,0.732513644400422
59,59,1,1.21875,0.0104166666666667,1,22,22,0.749651311030908
60,60,1,1.23958333333333,0.0104166666666667,1,29,29,0.766947206558667
61,61,1,1.26041666666667,0.0104166666666667,1,17,17,0.78439225296451
62,62,1,1.28125,0.0104166666666667,1,11,11,0.80197798388995
63,63,1,1.30208333333333,0.0104166666666667,1,23,23,0.819696500945326
64,64,1,1.32291666666667,0.0104166666666667,1,16,16,0.837540432856783
65,65,1,1.34375,0.0104166666666667,1,33,33,0.855502897370263
66,66,1,1.36458333333333,0.0104166666666667,1,14,14,0.873577465805035
67,67,1,1.38541666666667,0.0104166666666667,1,24,24,0.89175813013234
