cell,ix,iy,xc,yc,nFluid,mass
1,1,1,0.015625,0.015625,20,20
2,2,1,0.046875,0.015625,20,20
3,3,1,0.078125,0.015625,20,20
4,4,1,0.109375,0.015625,20,20
5,5,1,0.140625,0.015625,20,20
6,6,1,0.171875,0.015625,20,20
7,7,1,0.203125,0.015625,20,20
8,8,1,0.234375,0.015625,20,20
9,9,1,0.265625,0.015625,20,20
10,10,1,0.296875,0.015625,20,20
11,11,1,0.328125,0.015625,20,20
12,12,1,0.359375,0.015625,20,20
13,13,1,0.390625,0.015625,20,20
14,14,1,0.421875,0.015625,20,20
15,15,1,0.453125,0.015625,20,20
16,16,1,0.484375,0.015625,20,20
17,17,1,0.515625,0.015625,20,20
18,18,1,0.546875,0.015625,20,20
19,19,1,0.578125,0.015625,20,20
20,20,1,0.609375,0.015625,20,20
21,21,1,0.640625,0.015625,20,20
22,22,1,0.671875,0.015625,20,20
23,23,1,0.703125,0.015625,20,20
24,24,1,0.734375,0.015625,20,20
25,25,1,0.765625,0.015625,20,20
26,26,1,0.796875,0.015625,20,20
27,27,1,0.828125,0.015625,20,20
28,28,1,0.859375,0.015625,20,20
29,29,1,0.890625,0.015625,20,20
30,30,1,0.921875,0.015625,20,20
31,31,1,0.953125,0.015625,20,20
32,32,1,0.984375,0.015625,20,20
33,33,1,1.015625,0.015625,20,20
34,34,1,1.046875,0.015625,20,20
35,35,1,1.078125,0.015625,20,20
36,36,1,1.109375,0.015625,20,20
37,37,1,1.140625,0.015625,20,20
38,38,1,1.171875,0.015625,20,20
39,39,1,1.203125,0.015625,20,20
40,40,1,1.234375,0.015625,20,20
41,41,1,1.265625,0.015625,20,20
42,42,1,1.296875,0.015625,20,20
43,43,1,1.328125,0.015625,20,20
44,44,1,1.359375,0.015625,20,20
45,45,1,1.390625,0.015625,20,20
46,46,1,1.421875,0.015625,20,20
47,47,1,1.453125,0.015625,20,20
48,48,1,1.484375,0.015625,20,20
49,49,1,1.515625,0.015625,20,20
50,50,1,1.546875,0.015625,20,20
51,51,1,1.578125,0.015625,20,20
52,52,1,1.609375,0.015625,20,20
53,53,1,1.640625,0.015625,20,20
54,54,1,1.671875,0.015625,20,20
55,55,1,1.703125,0.015625,20,20
56,56,1,1.734375,0.015625,20,20
57,57,1,1.765625,0.015625,20,20
58,58,1,1.796875,0.015625,20,20
59,59,1,1.828125,0.015625,20,20
60,60,1,1.859375,0.015625,20,20
61,61,1,1.890625,0.015625,20,20
62,62,1,1.921875,0.015625,20,20
63,63,1,1.953125,0.015625,20,20
64,64,1,1.984375,0.015625,20,20
65,1,2,0.015625,0.046875,20,20
66,2,2,0.046875,0.046875,20,20
67,3,2,0.078125,0.046875,20,20
68,4,2,0.109375,0.046875,20,20
69,5,2,0.140625,0.046875,20,20
70,6,2,0.171875,0.046875,20,20
71,7,2,0.203125,0.046875,20,20
72,8,2,0.234375,0.046875,20,20
73,9,2,0.265625,0.046875,20,20
74,10,2,0.296875,0.046875,20,20
75,11,2,0.328125,0.046875,20,20
76,12,2,0.359375,0.046875,20,20
77,13,2,0.390625,0.046875,20,20
78,14,2,0.421875,0.046875,20,20
79,15,2,0.453125,0.046875,20,20
80,16,2,0.484375,0.046875,20,20
81,17,2,0.515625,0.046875,20,20
82,18,2,0.546875,0.046875,20,20
83,19,2,0.578125,0.046875,20,20
84,20,2,0.609375,0.046875,20,20
85,21,2,0.640625,0.046875,20,20
86,22,2,0.671875,0.046875,20,20
87,23,2,0.703125,0.046875,20,20
88,24,2,0.734375,0.046875,20,20
89,25,2,0.765625,0.046875,20,20
90,26,2,0.796875,0.046875,20,20
91,27,2,0.828125,0.046875,20,20
92,28,2,0.859375,0.046875,20,20
93,29,2,0.890625,0.046875,20,20
94,30,2,0.921875,0.046875,20,20
95,31,2,0.953125,0.046875,20,20
96,32,2,0.984375,0.046875,20,20
97,33,2,1.015625,0.046875,20,20
98,34,2,1.046875,0.046875,20,20
99,35,2,1.078125,0.046875,20,20
100,36,2,1.109375,0.046875,20,20
101,37,2,1.140625,0.046875,20,20
102,38,2,1.171875,0.046875,20,20
103,39,2,1.203125,0.046875,20,20
104,40,2,1.234375,0.046875,20,20
105,41,2,1.265625,0.046875,20,20
106,42,2,1.296875,0.046875,20,20
107,43,2,1.328125,0.046875,20,20
108,44,2,1.359375,0.046875,20,20
109,45,2,1.390625,0.046875,20,20
110,46,2,1.421875,0.046875,20,20
111,47,2,1.453125,0.046875,20,20
112,48,2,1.484375,0.046875,20,20
113,49,2,1.515625,0.046875,20,20
114,50,2,1.546875,0.046875,20,20
115,51,2,1.578125,0.046875,20,20
116,52,2,1.609375,0.046875,20,20
117,53,2,1.640625,0.046875,20,20
118,54,2,1.671875,0.046875,20,20
119,55,2,1.703125,0.046875,20,20
120,56,2,1.734375,0.046875,20,20
121,57,2,1.765625,0.046875,20,20
122,58,2,1.796875,0.046875,20,20
123,59,2,1.828125,0.046875,20,20
124,60,2,1.859375,0.046875,20,20
125,61,2,1.890625,0.046875,20,20
126,62,2,1.921875,0.046875,20,20
127,63,2,1.953125,0.046875,20,20
128,64,2,1.984375,0.046875,20,20
129,1,3,0.015625,0.078125,20,20
130,2,3,0.046875,0.078125,20,20
131,3,3,0.078125,0.078125,20,20
132,4,3,0.109375,0.078125,20,20
133,5,3,0.140625,0.078125,20,20
134,6,3,0.171875,0.078125,20,20
135,7,3,0.203125,0.078125,20,20
136,8,3,0.234375,0.078125,20,20
137,9,3,0.265625,0.078125,20,20
138,10,3,0.296875,0.078125,20,20
139,11,3,0.328125,0.078125,20,20
140,12,3,0.359375,0.078125,20,20
141,13,3,0.390625,0.078125,20,20
142,14,3,0.421875,0.078125,20,20
143,15,3,0.453125,0.078125,20,20
144,16,3,0.484375,0.078125,20,20
145,17,3,0.515625,0.078125,20,20
146,18,3,0.546875,0.078125,20,20
147,19,3,0.578125,0.078125,20,20
148,20,3,0.609375,0.078125,20,20
149,21,3,0.640625,0.078125,20,20
150,22,3,0.671875,0.078125,20,20
151,23,3,0.703125,0.078125,20,20
152,24,3,0.734375,0.078125,20,20
153,25,3,0.765625,0.078125,20,20
154,26,3,0.796875,0.078125,20,20
155,27,3,0.828125,0.078125,20,20
156,28,3,0.859375,0.078125,20,20
157,29,3,0.890625,0.078125,20,20
158,30,3,0.921875,0.078125,20,20
159,31,3,0.953125,0.078125,20,20
160,32,3,0.984375,0.078125,20,20
161,33,3,1.015625,0.078125,20,20
162,34,3,1.046875,0.078125,20,20
163,35,3,1.078125,0.078125,20,20
164,36,3,1.109375,0.078125,20,20
165,37,3,1.140625,0.078125,20,20
166,38,3,1.171875,0.078125,20,20
167,39,3,1.203125,0.078125,20,20
168,40,3,1.234375,0.078125,20,20
169,41,3,1.265625,0.078125,20,20
170,42,3,1.296875,0.078125,20,20
171,43,3,1.328125,0.078125,20,20
172,44,3,1.359375,0.078125,20,20
173,45,3,1.390625,0.078125,20,20
174,46,3,1.421875,0.078125,20,20
175,47,3,1.453125,0.078125,20,20
176,48,3,1.484375,0.078125,20,20
177,49,3,1.515625,0.078125,20,20
178,50,3,1.546875,0.078125,20,20
179,51,3,1.578125,0.078125,20,20
180,52,3,1.609375,0.078125,20,20
181,53,3,1.640625,0.078125,20,20
182,54,3,1.671875,0.078125,20,20
183,55,3,1.703125,0.078125,20,20
184,56,3,1.734375,0.078125,20,20
185,57,3,1.765625,0.078125,20,20
186,58,3,1.796875,0.078125,20,20
187,59,3,1.828125,0.078125,20,20
188,60,3,1.859375,0.078125,20,20
189,61,3,1.890625,0.078125,20,20
190,62,3,1.921875,0.078125,20,20
191,63,3,1.953125,0.078125,20,20
192,64,3,1.984375,0.078125,20,20
193,1,4,0.015625,0.109375,20,20
194,2,4,0.046875,0.109375,20,20
195,3,4,0.078125,0.109375,20,20
196,4,4,0.109375,0.109375,20,20
197,5,4,0.140625,0.109375,20,20
198,6,4,0.171875,0.109375,20,20
199,7,4,0.203125,0.109375,20,20
200,8,4,0.234375,0.109375,20,20
201,9,4,0.265625,0.109375,20,20
202,10,4,0.296875,0.109375,20,20
203,11,4,0.328125,0.109375,20,20
204,12,4,0.359375,0.109375,20,20
205,13,4,0.390625,0.109375,20,20
206,14,4,0.421875,0.109375,20,20
207,15,4,0.453125,0.109375,20,20
208,16,4,0.484375,0.109375,20,20
209,17,4,0.515625,0.109375,20,20
210,18,4,0.546875,0.109375,20,20
