cellId,cellIx,cellIy,zone,Nfluid,Mfluid,Nlatent,Ninactive
1,1,1,background,20,20,0,0
2,2,1,background,20,20,0,0
3,3,1,background,20,20,0,0
4,4,1,background,20,20,0,0
5,5,1,background,20,20,0,0
6,6,1,background,20,20,0,0
7,7,1,background,20,20,0,0
8,8,1,background,20,20,0,0
9,9,1,background,20,20,0,0
10,10,1,background,20,20,0,0
11,11,1,background,20,20,0,0
12,12,1,background,20,20,0,0
13,13,1,background,20,20,0,0
14,14,1,background,20,20,0,0
15,15,1,background,20,20,0,0
16,16,1,background,20,20,0,0
17,17,1,background,20,20,0,0
18,18,1,background,20,20,0,0
19,19,1,background,20,20,0,0
20,20,1,background,20,20,0,0
21,21,1,background,20,20,0,0
22,22,1,background,20,20,0,0
23,23,1,background,20,20,0,0
24,24,1,background,20,20,0,0
25,25,1,background,20,20,0,0
26,26,1,background,20,20,0,0
27,27,1,background,20,20,0,0
28,28,1,background,20,20,0,0
29,29,1,background,20,20,0,0
30,30,1,background,20,20,0,0
31,31,1,background,20,20,0,0
32,32,1,background,20,20,0,0
33,1,2,background,20,20,0,0
34,2,2,background,20,20,0,0
35,3,2,background,20,20,0,0
36,4,2,background,20,20,0,0
37,5,2,background,20,20,0,0
38,6,2,background,20,20,0,0
39,7,2,background,20,20,0,0
40,8,2,background,20,20,0,0
41,9,2,background,20,20,0,0
42,10,2,background,20,20,0,0
43,11,2,background,20,20,0,0
44,12,2,background,20,20,0,0
45,13,2,background,20,20,0,0
46,14,2,background,20,20,0,0
47,15,2,background,20,20,0,0
48,16,2,background,20,20,0,0
49,17,2,background,20,20,0,0
50,18,2,background,20,20,0,0
51,19,2,background,20,20,0,0
52,20,2,background,20,20,0,0
53,21,2,background,20,20,0,0
54,22,2,background,20,20,0,0
55,23,2,background,20,20,0,0
56,24,2,background,20,20,0,0
57,25,2,background,20,20,0,0
58,26,2,background,20,20,0,0
59,27,2,background,20,20,0,0
60,28,2,background,20,20,0,0
61,29,2,background,20,20,0,0
62,30,2,background,20,20,0,0
63,31,2,background,20,20,0,0
64,32,2,background,20,20,0,0
65,1,3,background,20,20,0,0
66,2,3,background,20,20,0,0
67,3,3,background,20,20,0,0
68,4,3,background,20,20,0,0
69,5,3,background,20,20,0,0
70,6,3,background,20,20,0,0
71,7,3,background,20,20,0,0
72,8,3,background,20,20,0,0
73,9,3,background,20,20,0,0
74,10,3,background,20,20,0,0
75,11,3,background,20,20,0,0
76,12,3,background,20,20,0,0
77,13,3,background,20,20,0,0
78,14,3,background,20,20,0,0
79,15,3,background,20,20,0,0
80,16,3,background,20,20,0,0
81,17,3,background,20,20,0,0
82,18,3,background,20,20,0,0
83,19,3,background,20,20,0,0
84,20,3,background,20,20,0,0
85,21,3,background,20,20,0,0
86,22,3,background,20,20,0,0
87,23,3,background,20,20,0,0
88,24,3,background,20,20,0,0
89,25,3,background,20,20,0,0
90,26,3,background,20,20,0,0
91,27,3,background,20,20,0,0
92,28,3,background,20,20,0,0
93,29,3,background,20,20,0,0
94,30,3,background,20,20,0,0
95,31,3,background,20,20,0,0
96,32,3,background,20,20,0,0
