x_center,y_center,ux,uy,count,omega
0.000625,0.0003125,0.124162,0.183469,23,175.619
0.001875,0.0003125,0.539351,0.300319,23,-296.489
0.003125,0.0003125,0.542364,0.239257,16,89.0126
0.004375,0.0003125,0.353466,0.037748,22,-228.84
0.005625,0.0003125,0.399944,0.018752,24,202.466
0.006875,0.0003125,0.476916,0.176584,18,4.68209
0.008125,0.0003125,0.393983,-0.24943,22,-223.027
0.009375,0.0003125,0.237635,-0.00866946,16,221.968
0.010625,0.0003125,0.438487,0.286723,18,-111.119
0.011875,0.0003125,0.50384,0.0874015,18,-249.37
0.013125,0.0003125,0.205796,-0.155838,14,4.91312
0.014375,0.0003125,0.345041,0.276511,25,280.179
0.015625,0.0003125,0.341802,0.0628923,19,37.1587
0.016875,0.0003125,0.461728,0.0184662,21,8.94383
0.018125,0.0003125,0.433408,-0.320081,16,20.5218
0.019375,0.0003125,0.268064,-0.108862,28,440.029
0.020625,0.0003125,0.285226,-0.0428933,27,-334.218
0.021875,0.0003125,0.432581,0.0922525,20,-171.539
0.023125,0.0003125,0.559005,0.019496,21,263.97
0.024375,0.0003125,0.459748,-0.341315,16,-83.6718
0.025625,0.0003125,0.191906,0.172641,20,507.931
0.026875,0.0003125,0.257717,-0.0893341,27,-164.326
0.028125,0.0003125,0.504331,-0.297755,22,202.868
0.029375,0.0003125,0.283814,-0.154667,25,441.352
0.030625,0.0003125,0.776412,0.0670751,24,82.9481
0.031875,0.0003125,0.467134,0.0897726,21,480.441
0.033125,0.0003125,0.416582,0.0790515,29,-135.996
0.034375,0.0003125,0.439119,0.0514665,22,-243.218
0.035625,0.0003125,0.407637,-0.217121,18,-24.5444
0.036875,0.0003125,0.204064,-0.113219,12,129.215
0.038125,0.0003125,0.614449,0.398238,12,363.801
0.039375,0.0003125,0.431694,0.166568,27,-335.282
0.040625,0.0003125,0.162381,-0.153529,20,-123.996
0.041875,0.0003125,0.163313,-0.0132833,20,260.401
0.043125,0.0003125,0.548604,0.161173,19,-176.751
0.044375,0.0003125,0.345618,-0.134709,24,-189.868
0.045625,0.0003125,0.332945,-0.0875198,21,-95.4278
0.046875,0.0003125,0.533703,-0.0837423,18,-283.881
0.048125,0.0003125,0.59049,-0.0389341,27,104.163
0.049375,0.0003125,0.900814,-0.26789,14,73.3896
0.050625,0.0003125,0.656057,0.142092,15,171.414
0.051875,0.0003125,0.438518,0.187342,26,-270.016
0.053125,0.0003125,0.347786,0.121568,19,-232.907
0.054375,0.0003125,0.457036,0.019069,19,34.2148
0.055625,0.0003125,0.301361,-0.145491,15,-111.519
0.056875,0.0003125,0.709356,0.0990284,18,357.074
0.058125,0.0003125,0.327129,0.294645,20,468.184
0.059375,0.0003125,0.201192,-0.114729,22,-15.2599
0.060625,0.0003125,0.389955,-0.0588262,24,134.208
0.061875,0.0003125,0.288155,-0.0552685,26,389.547
0.063125,0.0003125,0.55275,0.122308,16,131.553
0.064375,0.0003125,0.508232,0.0857664,26,120.917
0.065625,0.0003125,0.370313,-0.0951772,28,34.0285
0.066875,0.0003125,0.433439,-0.208831,20,207.436
0.068125,0.0003125,0.354419,-0.364883,23,145.858
0.069375,0.0003125,0.532309,-0.262088,14,45.3935
0.070625,0.0003125,0.580571,-0.107244,25,180.856
0.071875,0.0003125,0.59172,-0.129326,28,63.536
0.073125,0.0003125,0.613311,-0.158878,20,-73.363
0.074375,0.0003125,0.57627,-0.0269903,17,360.565
0.075625,0.0003125,0.346824,-0.149076,16,-16.6591
0.076875,0.0003125,0.836116,0.188471,19,-40.1457
0.078125,0.0003125,0.691976,-0.151233,18,20.2049
0.079375,0.0003125,0.460959,0.164805,22,127.975
0.080625,0.0003125,0.0692478,0.329595,17,-78.0412
0.081875,0.0003125,0.275255,0.0931103,22,-224.337
0.083125,0.0003125,0.368418,-0.360634,25,144.308
0.084375,0.0003125,0.387926,0.0235368,20,60.9826
0.085625,0.0003125,0.170916,0.0388896,29,-69.7609
0.086875,0.0003125,0.557858,-0.0352962,27,-40.3247
0.088125,0.0003125,0.49189,-0.0644627,19,309.885
0.089375,0.0003125,0.565606,0.0794129,25,346.38
0.090625,0.0003125,0.445337,-0.0959522,17,-220.772
0.091875,0.0003125,0.363857,-0.0870589,18,-43.7052
0.093125,0.0003125,0.455288,0.0136189,30,26.602
0.094375,0.0003125,0.349582,0.168843,18,-159.496
0.095625,0.0003125,0.211997,-0.0889674,21,-226.502
0.096875,0.0003125,0.621352,0.0112737,23,-85.7963
0.098125,0.0003125,0.452208,0.214758,24,-110.435
0.099375,0.0003125,0.431147,-0.141372,25,-121.799
0.100625,0.0003125,0.184081,0.0241539,22,-8.24643
0.101875,0.0003125,0.341965,0.191671,16,-302.645
0.103125,0.0003125,0.420351,-0.0165455,17,63.6418
0.104375,0.0003125,0.197622,0.129409,22,17.2489
0.105625,0.0003125,0.686014,0.382247,18,-268.012
0.106875,0.0003125,0.236557,0.0255226,21,-81.1642
0.108125,0.0003125,0.689578,0.0544637,28,-11.4692
0.109375,0.0003125,0.386005,0.205743,29,46.6685
0.110625,0.0003125,0.354266,0.09163,22,-251.689
0.111875,0.0003125,0.381366,-0.134517,22,-192.715
0.113125,0.0003125,0.725477,-0.0961986,21,-223.409
0.114375,0.0003125,0.504502,-0.30484,15,235.022
0.115625,0.0003125,0.478341,-0.133937,34,457.739
0.116875,0.0003125,0.462274,0.0926077,19,-214.997
0.118125,0.0003125,0.598429,-0.340624,17,83.3211
0.119375,0.0003125,0.475969,-0.186004,21,218.858
0.120625,0.0003125,0.0148818,-0.310094,22,412.727
0.121875,0.0003125,0.143557,-0.0698575,15,332.518
0.123125,0.0003125,0.499251,0.488758,22,43.1208
0.124375,0.0003125,0.495093,-0.0216554,20,-344.409
0.125625,0.0003125,0.473474,0.0299813,27,-168.648
0.126875,0.0003125,0.0490642,0.140153,23,139.875
0.128125,0.0003125,0.302612,0.0279978,22,150.836
0.129375,0.0003125,0.312932,0.273918,22,-85.3334
0.130625,0.0003125,0.577582,0.0970886,26,-120.709
0.131875,0.0003125,0.455812,0.339946,25,30.0763
0.133125,0.0003125,0.428802,0.187924,23,-89.2467
0.134375,0.0003125,0.529439,-0.242738,14,-142.672
0.135625,0.0003125,0.458166,-0.436196,17,329.593
0.136875,0.0003125,0.629579,0.0264404,22,-61.394
0.138125,0.0003125,0.63002,-0.0652328,18,-494.83
0.139375,0.0003125,0.227996,-0.257618,11,-143.435
0.140625,0.0003125,0.472006,-0.0431762,12,-311.667
0.141875,0.0003125,0.637691,-0.343227,24,202.315
0.143125,0.0003125,0.518219,-0.031446,20,295.51
0.144375,0.0003125,0.170833,-0.168384,15,262.978
0.145625,0.0003125,0.40288,0.19453,19,133.553
0.146875,0.0003125,0.165439,0.00212835,20,-36.6344
0.148125,0.0003125,0.371953,0.305048,25,175.118
0.149375,0.0003125,0.0900775,0.175396,18,30.3276
0.150625,0.0003125,0.401682,-0.257302,20,-282.941
0.151875,0.0003125,0.550799,-0.268065,14,418.119
0.153125,0.0003125,0.548031,0.24815,20,492.111
0.154375,0.0003125,0.227643,0.00637209,25,-36.4664
0.155625,0.0003125,0.451665,-0.237602,19,-195.831
0.156875,0.0003125,0.389826,0.0600083,18,21.0106
0.158125,0.0003125,0.483431,0.0144068,29,-340.483
0.159375,0.0003125,0.509076,-0.380454,11,214.064
0.160625,0.0003125,0.178435,0.0785076,19,96.6951
0.161875,0.0003125,0.586043,0.189003,20,-70.2278
0.163125,0.0003125,0.398998,0.0893313,16,202.677
0.164375,0.0003125,0.351139,0.020773,23,-239.391
0.165625,0.0003125,0.373488,0.0277261,15,-292.385
0.166875,0.0003125,0.491629,-0.28607,22,87.1921
0.168125,0.0003125,0.468139,0.29863,18,21.999
0.169375,0.0003125,0.208915,-0.02833,18,-12.4307
0.170625,0.0003125,0.552548,0.0849161,25,-342.006
0.171875,0.0003125,0.705646,-0.260691,16,-171.814
0.173125,0.0003125,0.454154,0.0162219,24,401.817
0.174375,0.0003125,0.325675,0.274813,16,-170.126
0.175625,0.0003125,0.509411,0.0389406,18,-335.024
0.176875,0.0003125,0.429794,0.105212,21,125.191
0.178125,0.0003125,0.61957,-0.0344383,13,158.12
0.179375,0.0003125,0.656364,0.146286,21,-219.864
0.180625,0.0003125,0.198861,-0.359756,16,-10.896
0.181875,0.0003125,0.540281,0.277305,15,92.7928
0.183125,0.0003125,0.638596,-0.0785375,19,-153.193
0.184375,0.0003125,0.551818,0.0146753,17,-66.6613
0.185625,0.0003125,0.677776,0.100343,21,-148.61
0.186875,0.0003125,0.380887,-0.025146,25,300.799
0.188125,0.0003125,0.596446,0.0643342,16,-219.601
0.189375,0.0003125,0.180758,-0.0623685,20,-204.254
0.190625,0.0003125,0.688767,-0.0465649,18,-231.597
0.191875,0.0003125,0.688256,-0.105955,21,-250.298
0.193125,0.0003125,0.444284,-0.253045,23,-144.901
0.194375,0.0003125,0.413353,-0.299572,18,522.649
0.195625,0.0003125,0.616031,0.213346,23,57.5503
0.196875,0.0003125,0.460335,-0.0245052,26,111.781
0.198125,0.0003125,0.417409,0.035558,25,123.167
0.199375,0.0003125,0.531704,0.141391,19,44.5045
0.200625,0.0003125,0.415496,0.129355,26,-43.536
0.201875,0.0003125,0.498081,-0.0896479,26,141.693
0.203125,0.0003125,0.31447,0.145606,23,104.735
0.204375,0.0003125,0.265368,0.0610678,17,-261.916
0.205625,0.0003125,0.289217,-0.11946,21,-11.4228
0.206875,0.0003125,0.240276,0.360064,18,-227.1
0.208125,0.0003125,0.475498,-0.0957515,17,-251.535
0.209375,0.0003125,0.313978,0.153082,19,82.632
0.210625,0.0003125,0.669069,0.124263,25,89.8542
0.211875,0.0003125,0.438294,-0.283084,13,172.39
0.213125,0.0003125,0.431786,0.0255844,19,-350.084
0.214375,0.0003125,0.446546,0.077982,18,-291.32
0.215625,0.0003125,0.758447,-0.254679,20,-146.627
0.216875,0.0003125,0.671565,-0.187474,19,176.262
0.218125,0.0003125,0.793504,0.173983,18,-19.4986
0.219375,0.0003125,0.640347,-0.0538189,22,-34.8058
0.220625,0.0003125,0.557975,-0.19583,22,74.4236
0.221875,0.0003125,0.39673,0.201719,16,55.0919
0.223125,0.0003125,0.466349,0.12946,31,-1.57634
0.224375,0.0003125,0.50554,-0.050987,26,-78.9223
0.225625,0.0003125,0.481907,0.0675074,22,377.507
0.226875,0.0003125,0.362842,0.0199781,20,94.2043
0.228125,0.0003125,0.399142,0.175619,21,-278.598
0.229375,0.0003125,0.387276,-0.0758378,17,-13.4608
0.230625,0.0003125,0.472372,0.169901,24,270.192
